CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label class
5,1.499671377,0.113636364,600,0.183726361,0.5,6,1
2,0.656917478,0.052631579,384,0.095238095,0.5,3,1
1,0.248425498,0.033333333,168,0.017857143,0.5,2,1
1,0.227559807,0.023809524,456,0.012345679,0.5,2,1
1,0.227559807,0.037037037,96,0.012345679,0.5,2,1
1,0.227559807,0.027027027,336,0.012345679,0.5,0,1
1,0.227559807,0.03030303,240,0.012345679,0.5,2,1
4,1.195144751,0.071428571,864,0.147583774,0.5,5,1
1,0.227559807,0.020833333,600,0.012345679,0.5,2,1
1,0.248425498,0.022727273,504,0.017857143,0.5,0,1
1,0.310667467,0.034482759,144,0.04,0.5,2,1
1,0.227559807,0.035714286,120,0.012345679,0.5,2,1
5,1.499671377,0.131578947,456,0.183726361,0.5,6,1
1,0.227559807,0.035714286,120,0.012345679,0.5,2,1
9,2.80660584,0.225,600,0.371913496,0.5,9,1
1,0.227559807,0.03125,216,0.012345679,0.5,2,1
1,0.310667467,0.014492754,1104,0.04,0.5,2,1
1,0.227559807,0.035714286,120,0.012345679,0.5,2,1
1,0.248425498,0.034482759,144,0.017857143,0.5,2,1
2,0.571999335,0.043478261,576,0.060606061,0.5,3,1
1,0.227559807,0.033333333,168,0.012345679,0.5,2,1
1,0.227559807,0.034482759,144,0.012345679,0.5,2,1
1,0.227559807,0.04,48,0.012345679,0.5,2,1
1,0.248425498,0.034482759,144,0.017857143,0.5,2,1
1,0.248425498,0.038461538,72,0.017857143,0.5,0,1
1,0.248425498,0.033333333,168,0.017857143,0.5,0,1
1,0.227559807,0.034482759,144,0.012345679,0.5,2,1
1,0.227559807,0.034482759,144,0.012345679,0.5,2,1
2,0.571999335,0.043478261,576,0.060606061,0.5,3,1
1,0.248425498,0.038461538,72,0.017857143,0.5,2,1
1,0.227559807,0.028571429,288,0.012345679,0.5,2,1
1,0.227559807,0.03125,216,0.012345679,0.5,2,1
1,0.310667467,0.027777778,312,0.04,0.5,2,1
1,0.227559807,0.027777778,312,0.012345679,0.5,2,1
1,0.227559807,0.03030303,240,0.012345679,0.5,2,1
1,0.227559807,0.027027027,336,0.012345679,0.5,2,1
1,0.248425498,0.037037037,96,0.017857143,0.5,0,1
1,0.227559807,0.03125,216,0.012345679,0.5,2,1
1,0.227559807,0.028571429,288,0.012345679,0.5,2,1
1,0.227559807,0.03125,216,0.012345679,0.5,2,1
1,0.227559807,0.03125,216,0.012345679,0.5,2,1
1,0.227559807,0.033333333,168,0.012345679,0.5,0,1
7,2.127359296,0.25,264,0.266650338,0.5,7,1
1,0.227559807,0.029411765,264,0.012345679,0.5,0,1
3,0.884477284,0.115384615,120,0.107583774,0.5,0,1
7,2.127359296,0.25,264,0.266650338,0.5,7,1
7,2.127359296,0.25,264,0.266650338,0.5,7,1
3,0.884477284,0.090909091,288,0.107583774,0.5,4,1
2,0.571999335,0.074074074,120,0.060606061,0.5,3,1
2,0.571999335,0.074074074,120,0.060606061,0.5,3,1
7,2.127359296,0.25,264,0.266650338,0.5,7,1
1,0.227559807,0.024390244,432,0.012345679,0.5,0,1
4,1.131092301,0.137931034,216,0.118463203,0.5,5,1
1,0.227559807,0.028571429,288,0.012345679,0.5,0,1
1,0.227559807,0.026315789,360,0.012345679,0.5,2,1
4,1.131092301,0.137931034,216,0.118463203,0.5,0,1
1,0.227559807,0.032258065,192,0.012345679,0.5,0,1
1,0.227559807,0.032258065,192,0.012345679,0.5,0,1
1,0.227559807,0.032258065,192,0.012345679,0.5,0,1
1,0.227559807,0.032258065,192,0.012345679,0.5,0,1
4,1.131092301,0.108108108,408,0.118463203,0.5,0,1
4,1.131092301,0.108108108,408,0.118463203,0.5,0,1
1,0.227559807,0.033333333,168,0.012345679,0.5,2,1
1,0.227559807,0.034482759,144,0.012345679,0.5,2,1
1,0.227559807,0.035714286,120,0.012345679,0.5,2,1
