CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
0,0.72134752,0.25,1,0.25,0.5,0,-1
0,1.631586747,0.5,1,0.583333333,1,0,-1
0,1.631586747,0.5,1,0.583333333,1,0,-1
0,0.961796694,0.333333333,1,0.25,0.5,0,-1
10,2.204466563,0.666666667,1,0.65,1,10,-1
10,2.204466563,0.666666667,1,0.65,1,10,-1
10,2.585352324,0.5,1.142857143,0.7875,1,10,-1
6,0.961796694,0.333333333,1,0.25,0.5,6,-1
10,2.585352324,0.5,1.142857143,0.7875,1,10,-1
10,2.204466563,0.666666667,1,0.65,1,10,-1
3,2.276759824,0.3,1.222222222,0.681818182,1,3,-1
0,0,0,1,0,0.333333333,0,-1
3,1.555412303,0.6,1,0.431818182,1,3,-1
3,2.276759824,0.3,1.222222222,0.681818182,1,3,-1
0,1.555412303,0.6,1,0.431818182,1,0,-1
3,0.834064783,0.333333333,1,0.181818182,0.5,3,-1
0,0.834064783,0.133333333,1.153846154,0.181818182,0.5,0,-1
0,0.834064783,0.4,1,0.181818182,0.5,0,-1
0,0.834064783,0.333333333,1,0.181818182,0.5,0,-1
3,0.834064783,0.333333333,1,0.181818182,0.5,3,-1
0,0,0,1.428571429,0,0.333333333,0,-1
0,0,0,1.615384615,0,0.25,0,-1
