Dataset,Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
kc1,0.2,FEARN_AdaBoost_SVM | SMOTE,20,100,None,0.6610644257703081,0.8615384615384616,0.7546737231121524,0.4628099173553719,0.3163841807909605,0.6919431279620853,0.7613014436543849,"[[236 121]
 [  9  56]]",None,"[0.20571376049275297, 0.1525306545713971, 0.1140294806031865, 0.09498243592265482, 0.05583520502106586, 0.07357563848629071, 0.035049196148970424, 0.034799984203651595, 0.05827486081099813, 0.023515865173073493, 0.020350581854642162, 0.032142135228365454, 0.038624191241529396, 0.0065984834872172505, 0.006772662376747608, 0.006924604240485017, 0.009216798434389384, 0.021051991066219838, 0.03414078662520134, 0.0020000026666730686]"
kc1,0.2,FEARN_AdaBoost_SVM | SMOTE,25,10,None,0.7002801120448179,0.8615384615384616,0.7767356373806173,0.49122807017543857,0.34355828220858897,0.7251184834123223,0.7809092867916397,"[[250 107]
 [  9  56]]",None,"[0.19381072652011305, 0.1440292209213468, 0.11196224082988714, 0.08753458985074332, 0.06648835536258184, 0.05490900761446752, 0.042882041963323674, 0.04010805991397693, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.003094888516208923, 0.01351220226889371, 0.041508175893964536, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
kc1,0.2,FEARN_AdaBoost_SVM | SMOTE,25,100,None,0.6610644257703081,0.8615384615384616,0.7546737231121524,0.4628099173553719,0.3163841807909605,0.6919431279620853,0.7613014436543849,"[[236 121]
 [  9  56]]",None,"[0.20571376049275297, 0.1525306545713971, 0.1140294806031865, 0.09498243592265482, 0.05583520502106586, 0.07357563848629071, 0.035049196148970424, 0.034799984203651595, 0.05827486081099813, 0.023515865173073493, 0.020350581854642162, 0.032142135228365454, 0.038624191241529396, 0.0065984834872172505, 0.006772662376747608, 0.006924604240485017, 0.009216798434389384, 0.021051991066219838, 0.03414078662520134, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
kc1,0.2,FEARN_AdaBoost_WSVM | SMOTE,10,10,None,0.6162464985994398,0.8769230769230769,0.735119565577528,0.44015444015444016,0.29381443298969073,0.6563981042654028,0.7465847877612584,"[[220 137]
 [  8  57]]",None,"[0.19381072652011305, 0.12528383273515006, 0.12641872864644996, 0.09761330376613434, 0.06951133985755087, 0.04563997237317693, 0.0020000026666730686, 0.03487810164445679, 0.0020000026666730686, 0.039185457557184625]"
kc1,0.2,FEARN_AdaBoost_WSVM | SMOTE,10,100,None,0.6162464985994398,0.8923076923076924,0.7415399456927197,0.4461538461538462,0.29743589743589743,0.6587677725118484,0.7542770954535661,"[[220 137]
 [  7  58]]",None,"[0.20571376049275297, 0.13770681345637503, 0.12921468393687294, 0.09791770537441785, 0.06794866455667688, 0.055564545185594234, 0.04049950154946772, 0.05704142234465232, 0.0020000026666730686, 0.056179858573562634]"
kc1,0.2,FEARN_AdaBoost_WSVM | SMOTE,15,10,None,0.6162464985994398,0.8769230769230769,0.735119565577528,0.44015444015444016,0.29381443298969073,0.6563981042654028,0.7465847877612584,"[[220 137]
 [  8  57]]",None,"[0.19381072652011305, 0.12528383273515006, 0.12641872864644996, 0.09761330376613434, 0.06951133985755087, 0.04563997237317693, 0.0020000026666730686, 0.03487810164445679, 0.0020000026666730686, 0.039185457557184625, 0.0020000026666730686, 0.04695433364643842, 0.013389628775659045, 0.008007115116779146, 0.0020000026666730686]"
kc1,0.2,FEARN_AdaBoost_WSVM | SMOTE,15,100,None,0.6162464985994398,0.8923076923076924,0.7415399456927197,0.4461538461538462,0.29743589743589743,0.6587677725118484,0.7542770954535661,"[[220 137]
 [  7  58]]",None,"[0.20571376049275297, 0.13770681345637503, 0.12921468393687294, 0.09791770537441785, 0.06794866455667688, 0.055564545185594234, 0.04049950154946772, 0.05704142234465232, 0.0020000026666730686, 0.056179858573562634, 0.04791775282806543, 0.0020000026666730686, 0.039539435130816376, 0.011629689355047355, 0.03079833630138746]"
kc1,0.2,FEARN_AdaBoost_WSVM | SMOTE,20,10,None,0.7310924369747899,0.8,0.7647705208621943,0.48826291079812206,0.35135135135135137,0.7417061611374408,0.7655462184873951,"[[261  96]
 [ 13  52]]",None,"[0.19381072652011305, 0.12528383273515006, 0.12641872864644996, 0.09761330376613434, 0.06951133985755087, 0.04563997237317693, 0.0020000026666730686, 0.03487810164445679, 0.0020000026666730686, 0.039185457557184625, 0.0020000026666730686, 0.04695433364643842, 0.013389628775659045, 0.008007115116779146, 0.0020000026666730686, 0.0329007346206679, 0.007763571826155386, 0.02870342304115332, 0.011050358812267314, 0.002438519456237175]"
kc1,0.2,FEARN_AdaBoost_WSVM | SMOTE,20,100,None,0.6162464985994398,0.8923076923076924,0.7415399456927197,0.4461538461538462,0.29743589743589743,0.6587677725118484,0.7542770954535661,"[[220 137]
 [  7  58]]",None,"[0.20571376049275297, 0.13770681345637503, 0.12921468393687294, 0.09791770537441785, 0.06794866455667688, 0.055564545185594234, 0.04049950154946772, 0.05704142234465232, 0.0020000026666730686, 0.056179858573562634, 0.04791775282806543, 0.0020000026666730686, 0.039539435130816376, 0.011629689355047355, 0.03079833630138746, 0.017744323043612426, 0.023151359148087056, 0.018390894898902086, 0.002490523490439306, 0.011150949238963067]"
kc1,0.2,FEARN_AdaBoost_WSVM | SMOTE,25,10,None,0.7310924369747899,0.8,0.7647705208621943,0.48826291079812206,0.35135135135135137,0.7417061611374408,0.7655462184873951,"[[261  96]
 [ 13  52]]",None,"[0.19381072652011305, 0.12528383273515006, 0.12641872864644996, 0.09761330376613434, 0.06951133985755087, 0.04563997237317693, 0.0020000026666730686, 0.03487810164445679, 0.0020000026666730686, 0.039185457557184625, 0.0020000026666730686, 0.04695433364643842, 0.013389628775659045, 0.008007115116779146, 0.0020000026666730686, 0.0329007346206679, 0.007763571826155386, 0.02870342304115332, 0.011050358812267314, 0.002438519456237175, 0.007359086100066168, 0.0020000026666730686, 0.00516154626344073, 0.02608832174851414, 0.009651676827772269]"
