Dataset,Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
pc1,0.2,FEARN_AdaBoost_SVM | SMOTE,20,100,None,0.6956521739130435,0.8666666666666667,0.7764654214610189,0.2857142857142857,0.17105263157894737,0.7072072072072072,0.7811594202898551,"[[144  63]
 [  2  13]]",None,"[0.2711234040701684, 0.16321754117006093, 0.09651702163062956, 0.06573217085444791, 0.04437163983928522, 0.02436125829626595, 0.01990118895609334, 0.012020415039495046, 0.010526568317124882, 0.005584972471436178, 0.0052038843917327285, 0.0032139611746065267, 0.0025630727428663396, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
pc1,0.2,FEARN_AdaBoost_SVM | SMOTE,25,10,None,0.7101449275362319,0.8,0.7537346628814318,0.27586206896551724,0.16666666666666666,0.7162162162162162,0.7550724637681161,"[[147  60]
 [  3  12]]",None,"[0.17152127838907338, 0.11052585441238119, 0.08023149421537339, 0.05353205793800203, 0.042517782414644226, 0.029231614416882032, 0.02347813486403775, 0.016859779891671672, 0.01221138300659239, 0.010172926570536632, 0.0070868947315779075, 0.005353405118513646, 0.004352078764645446, 0.003226337227243859, 0.0025309245027409564, 0.0020591495256139106, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
pc1,0.2,FEARN_AdaBoost_SVM | SMOTE,25,100,None,0.6956521739130435,0.8666666666666667,0.7764654214610189,0.2857142857142857,0.17105263157894737,0.7072072072072072,0.7811594202898551,"[[144  63]
 [  2  13]]",None,"[0.2711234040701684, 0.16321754117006093, 0.09651702163062956, 0.06573217085444791, 0.04437163983928522, 0.02436125829626595, 0.01990118895609334, 0.012020415039495046, 0.010526568317124882, 0.005584972471436178, 0.0052038843917327285, 0.0032139611746065267, 0.0025630727428663396, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
pc1,0.2,FEARN_AdaBoost_WSVM | SMOTE,10,10,None,0.5507246376811594,0.9333333333333333,0.7169446713908604,0.22950819672131148,0.1308411214953271,0.5765765765765766,0.7420289855072464,"[[114  93]
 [  1  14]]",None,"[0.17152127838907338, 0.04613445072541006, 0.13498195011434394, 0.047697676088250075, 0.08134841816954365, 0.03653222386027407, 0.05381435778586039, 0.027579796455949008, 0.03669393739089529, 0.021639521749640338]"
pc1,0.2,FEARN_AdaBoost_WSVM | SMOTE,10,100,None,0.6811594202898551,0.8666666666666667,0.7683346694320176,0.2765957446808511,0.16455696202531644,0.6936936936936937,0.7739130434782608,"[[141  66]
 [  2  13]]",None,"[0.2711234040701684, 0.10372973442092545, 0.16224791214050194, 0.03954765733842736, 0.09146932611766763, 0.025641492836912947, 0.053309034927713175, 0.0201448006064365, 0.033377068119970175, 0.011885609993661407]"
pc1,0.2,FEARN_AdaBoost_WSVM | SMOTE,15,10,None,0.5507246376811594,0.9333333333333333,0.7169446713908604,0.22950819672131148,0.1308411214953271,0.5765765765765766,0.7420289855072464,"[[114  93]
 [  1  14]]",None,"[0.17152127838907338, 0.04613445072541006, 0.13498195011434394, 0.047697676088250075, 0.08134841816954365, 0.03653222386027407, 0.05381435778586039, 0.027579796455949008, 0.03669393739089529, 0.021639521749640338, 0.03350236870286935, 0.013731956819410623, 0.0020000026666730686, 0.00585285138933396, 0.014810619006692905]"
pc1,0.2,FEARN_AdaBoost_WSVM | SMOTE,15,100,None,0.6859903381642513,0.8666666666666667,0.7710544466782816,0.27956989247311825,0.16666666666666666,0.6981981981981982,0.7763285024154589,"[[142  65]
 [  2  13]]",None,"[0.2711234040701684, 0.10372973442092545, 0.16224791214050194, 0.03954765733842736, 0.09146932611766763, 0.025641492836912947, 0.053309034927713175, 0.0201448006064365, 0.033377068119970175, 0.011885609993661407, 0.03071224873162138, 0.008664377220661785, 0.0187316633977845, 0.005820915115942588, 0.01318285512969794]"
pc1,0.2,FEARN_AdaBoost_WSVM | SMOTE,20,10,None,0.5507246376811594,0.9333333333333333,0.7169446713908604,0.22950819672131148,0.1308411214953271,0.5765765765765766,0.7420289855072464,"[[114  93]
 [  1  14]]",None,"[0.17152127838907338, 0.04613445072541006, 0.13498195011434394, 0.047697676088250075, 0.08134841816954365, 0.03653222386027407, 0.05381435778586039, 0.027579796455949008, 0.03669393739089529, 0.021639521749640338, 0.03350236870286935, 0.013731956819410623, 0.0020000026666730686, 0.00585285138933396, 0.014810619006692905, 0.004076304229942566, 0.011152325468334334, 0.0027548639863676926, 0.007546425055522425, 0.0020000026666730686]"
pc1,0.2,FEARN_AdaBoost_WSVM | SMOTE,20,100,None,0.6859903381642513,0.8666666666666667,0.7710544466782816,0.27956989247311825,0.16666666666666666,0.6981981981981982,0.7763285024154589,"[[142  65]
 [  2  13]]",None,"[0.2711234040701684, 0.10372973442092545, 0.16224791214050194, 0.03954765733842736, 0.09146932611766763, 0.025641492836912947, 0.053309034927713175, 0.0201448006064365, 0.033377068119970175, 0.011885609993661407, 0.03071224873162138, 0.008664377220661785, 0.0187316633977845, 0.005820915115942588, 0.01318285512969794, 0.0044160138083189785, 0.005853077395500781, 0.003025405346162613, 0.002913554981616203, 0.003028176893527387]"
pc1,0.2,FEARN_AdaBoost_WSVM | SMOTE,25,10,None,0.5507246376811594,0.9333333333333333,0.7169446713908604,0.22950819672131148,0.1308411214953271,0.5765765765765766,0.7420289855072464,"[[114  93]
 [  1  14]]",None,"[0.17152127838907338, 0.04613445072541006, 0.13498195011434394, 0.047697676088250075, 0.08134841816954365, 0.03653222386027407, 0.05381435778586039, 0.027579796455949008, 0.03669393739089529, 0.021639521749640338, 0.03350236870286935, 0.013731956819410623, 0.0020000026666730686, 0.00585285138933396, 0.014810619006692905, 0.004076304229942566, 0.011152325468334334, 0.0027548639863676926, 0.007546425055522425, 0.0020000026666730686, 0.0051568034626943305, 0.005625276382837476, 0.002639791769158761, 0.0020000026666730686, 0.0029746094105243055]"
